Date,Festival
14.04.24,Kurothi NewYear
23.04.24,Chitra Pournami
04.05.24,Commencement of Agni Natchathiram
22.05.24,Vaikasi Visakam
28.05.24,Conclusion of Agni Natchathiram
11.07.24,Aani Uthiram
19.07.24,Aadi 1st Friday
26.07.24,Aadi 2nd Friday
29.07.24,Aadi Karthigai
02.08.24,Aadi 3rd Friday
03.08.24,Aadi Peruku
04.08.24,Aadi Amavasai
07.08.24,Aadi pooram
09.08.24,Aadi 4th Friday
16.08.24,Aadi Last Friday
16.08.24,Varalakshmi Viratham
26.08.24,Sri Krishna Jayanthi/ Sri Vaikanasa Sri Jayanthi
07.09.24,Sri Vinayagar Chathurthi
21.09.24,Purattasi 1st Saturday
28.09.24,Purattasi 2nd Saturday
02.10.24,Sarva Mahalaya Amavasai
03.10.24,Navarathiri Festival Commences
05.10.24,Purattasi 3rd Saturday
11.10.24,Saraswathy Poojai
12.10.24,Purattasi 4th Saturday Vijayadasami
20.10.24,Firewalking Festival
31.10.24,Deepavali
02.11.24,Commencement of Skantha Sashti Festival
07.11.24,Soora Samharam
13.12.24,ThiruKarthigai Deepam
14.11.24,Vaikanasa Deepam
30.12.24,Sri Hanumanth Jayanthi
10.01.25,Sri Vaikunda Ekadesi
13.01.25,Aardura Dharisanam
14.01.25,Thai Pongal
29.01.25,Thai Amavasai
06.02.25,Thai Karthigai
11.02.25,Thaipusam Festival
26.02.25,Maha Sivarathiri
12.03.25,Masi Magam
11.04.25,Panguni Uthiram
